id,text,sentiment_original,sentiment_unified,dataset,dialect,sarcasm,source,split,paraphrase,paraphrase_model,paraphrase_temperature,random_seed
SENT_015681,"تكريم ""رامي عياش"" بجامعة الـ LAU في لبنان#ET_بالعربي https://t.co/9Gj3aDFwSL",positive,positive,ArSarcasm,msa,False,semeval,train,رامي عياش يُكرّم في جامعة LAU اللبنانية.,gemini-2.5-flash,0.7,42
SENT_012716,"#السعاده ان يكون من نحب بخير وعافيه فنحن نشعر بهم ونهتم لامرهم حتى لو لم نراهم 3""",positive,positive,ArSarcasm,msa,False,astd,train,السعادة هي أن يكون أحباؤنا بخير وصحة جيدة. فنحن نشعر بهم ونهتم لأمرهم دائمًا، حتى لو لم نلتقِ بهم.,gemini-2.5-flash,0.7,42
SENT_001287,كورسيرا أكبر موقع عالمي يحتوى على مناهج جامعات عالمية هي الأفضل في تصنيف 2013! نتعاون معهم لتعريب المناهج، شاركونا! …,POS,positive,ASTD,unknown,unknown,ASTD,full,كورسيرا، المنصة العالمية الأضخم التي تضم مناهج من أفضل الجامعات العالمية (حسب تصنيف 2013)! نعمل حالياً بالتعاون معهم لتعريب هذه المناهج. ننتظر مشاركتكم!,gemini-2.5-flash,0.7,42
SENT_005445,"ودا قمة السفه في الصحافة !! ""الفن بعد ثورة 23 يوليو وبعد ثورة 25 يناير #مصر #الثورة """,NEG,negative,ASTD,unknown,unknown,ASTD,full,"ودا منتهى السخافة في التناول الصحفي، إنهم يركزوا على الفن في مصر من منظور ""ما بعد ثورة 23 يوليو"" و""ما بعد ثورة 25 يناير"".",gemini-2.5-flash,0.7,42
SENT_005875,#كلمة_شكر ل عآدل عبدالله ع البلنتي و الطرد اللي حصله ، اصلاً الطرد احلى 😳😳,POS,positive,ASTD,unknown,unknown,ASTD,full,حابين نشكر عادل عبدالله على البلنتي اللي أخذه، وعلى الطرد اللي حصله كمان. أصلاً، الطرد كان أحلى!,gemini-2.5-flash,0.7,42
SENT_008084,دعبد المنعم ابو الفتوح يتحدث عن ذكرياته لواقعة المشادة الكلامية بينه وبين الرئيس السادات,NEG,negative,ASTD,unknown,unknown,ASTD,full,الدكتور عبد المنعم أبو الفتوح يستذكر تفاصيل المشادة الكلامية التي جمعته بالرئيس السادات.,gemini-2.5-flash,0.7,42
SENT_007550,محامي ومستشار قانوني ٠٥٣٧٨٥٥٥٢٧ #المحامي #محامي #قاضي #حكم #درر #الوتر #مستشار #رقم #ريتويت #محاماة #مشاكل #قضايا #اسرية #محامي #مكتب ؟,OBJ,neutral,ASTD,unknown,unknown,ASTD,full,للتواصل مع محامٍ ومستشار قانوني، يرجى الاتصال على الرقم ٠٥٣٧٨٥٥٥٢٧. نحن نقدم الاستشارات والخدمات القانونية في مختلف القضايا، بما فيها القضايا الأسرية.,gemini-2.5-flash,0.7,42
SENT_014554,#عبد_الفتاح_السيسي @AlsisiOfficial يهني باختيار #جوتيريس سكرتير عام ل #الأمم_المتحدةhttps://t.co/Ff3WNWVwYq… https://t.co/2gns4eH3YS,positive,positive,ArSarcasm,msa,False,semeval,train,عبد الفتاح السيسي يهنئ جوتيريس على اختياره أمينًا عامًا للأمم المتحدة.,gemini-2.5-flash,0.7,42
SENT_014800,الارجنتين بدون ميسي مضحكه 😂😂,negative,negative,ArSarcasm,msa,True,semeval,train,الأرجنتين بلا ميسي مسخرة.,gemini-2.5-flash,0.7,42
SENT_016567,#المواطن | صور مراحل حمل النجمة #ميريام_فارس,neutral,neutral,ArSarcasm,msa,False,semeval,train,لقطاتٌ تبرز مراحل حمل النجمة ميريام فارس.,gemini-2.5-flash,0.7,42
SENT_000529,السنين الحلوه بتعدى قوام و آنتآ آسمك فى آلتآريخ بالنور مكتوب #أبو_تريكة,POS,positive,ASTD,unknown,unknown,ASTD,full,الأيام الحلوة بتعدي بسرعة، واسمك يا أبو تريكة منور صفحات التاريخ.,gemini-2.5-flash,0.7,42
SENT_011836,الناشطون السوريون في العالم مشغولون بزواج ريكي مارتن بشاب سوري هل هو حلال أم حرام #حلب,neutral,neutral,ArSarcasm,msa,False,semeval,train,النشطاء السوريون حول العالم ينشغلون بمسألة زواج ريكي مارتن من شاب سوري، ويتساءلون إن كان حلالاً أم حراماً.,gemini-2.5-flash,0.7,42
SENT_019311,@malak_alhusaini احس محد يشوف تغريداتي 😭😭😭 ملاك بايز فوزيني ب ايفون,neutral,neutral,ArSarcasm,gulf,False,semeval,test,@malak_alhusaini أحس إن تغريداتي صايرة مختفية عن الكل 😭😭😭 ملاك تكفين فوزيني بأيفون,gemini-2.5-flash,0.7,42
SENT_009750,@mohmad3033 والله مهو كلهم يبو سلطان..الاعلام الغربي يبي يصور لنا ان الشيعة خطر ويبي يصور للشيعة أنفسهم ان السنة خطر عليهم,negative,negative,ArSarcasm,gulf,False,semeval,train,والله، مو كل الشيعة يبغون سلطان. الإعلام الغربي يحاول يقدّم لنا صورة إن الشيعة يشكلون خطر، وبنفس الوقت يحاول يقدّم للشيعة أنفسهم صورة إن السنة خطر عليهم.,gemini-2.5-flash,0.7,42
SENT_010623,زوجة #ابراهيم_حسن ل #٩٠_دقيقة سائق شركة #اوبر تعدي على ابني بمطواه طالبا منه الموبايل فرفض مما ادي الي جروح قطعيه في جسده,negative,negative,ArSarcasm,msa,False,semeval,train,سواق أوبر اعتدى على ابني بمطواه، وكان بيطلب منه الموبايل، ولما ابني رفض يديهوله، اتعرض لجروح قطعية في جسمه.,gemini-2.5-flash,0.7,42
SENT_015278,تقدم بريطانيا مساعدات منقذة للأرواح لملايين المتضررين من الصراع في #سورية. #الوقوف_مع_حلب https://t.co/SxNY3ELrNN,neutral,neutral,ArSarcasm,msa,False,semeval,train,تُقدم بريطانيا معونات تُنقذ الأرواح لملايين المتضررين من النزاع في #سورية. #الوقوف_مع_حلب,gemini-2.5-flash,0.7,42
